target_image,cue_ori,target_x,condition,answer,thisN,thisTrialN,thisRepN,target_resp.keys,target_resp.corr,target_resp.rt,target_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,inst_text.started,start_resp.started,instructions.stopped,start_resp.keys,start_resp.rt,start_resp.duration,Target image,trial.started,cue.started,target.started,target_resp.started,cue.stopped,trial.stopped,trials.target_resp.keys,trials.target_resp.corr,trials.target_resp.rt,trials.target_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.02417110002716072,0.03550220001488924,0.03550220001488924,0.44877090002410114,right,0.39483560001826845,None,,,,,,,,,,,,pilot,001,2025-10-30_16h55.31.234,oct30exp,,2025.1.1,59.98551949706344,2025-10-30 16h55.35.537249 -0400,
images/green_alien.png,90,0.5,congruent,right,0,0,0,right,1,0.29652199998963624,None,0,0,0,2,0.5657610000052955,,,,,,,,,images/green_alien.png,0.5297498000145424,0.5657610000052955,1.050584800017532,1.050584800017532,1.0672589000023436,1.354512900026748,right,1,0.29652199998963624,None,pilot,001,2025-10-30_16h55.31.234,oct30exp,,2025.1.1,59.98551949706344,2025-10-30 16h55.35.537249 -0400,
images/green_alien.png,270,-0.5,congruent,left,1,1,0,left,1,0.23152209998806939,None,0,1,1,3,1.418105500022648,,,,,,,,,images/green_alien.png,1.408381700020982,1.418105500022648,1.9674480000103358,1.9674480000103358,1.9338727000285871,2.2050333000079263,left,1,0.23152209998806939,None,pilot,001,2025-10-30_16h55.31.234,oct30exp,,2025.1.1,59.98551949706344,2025-10-30 16h55.35.537249 -0400,
images/green_alien.png,90,-0.5,incongruent,left,2,2,0,left,1,0.3427159999846481,None,0,2,2,0,2.2860752000124194,,,,,,,,,images/green_alien.png,2.270856700022705,2.2860752000124194,2.817609600024298,2.817609600024298,2.8006905000074767,3.170421000017086,left,1,0.3427159999846481,None,pilot,001,2025-10-30_16h55.31.234,oct30exp,,2025.1.1,59.98551949706344,2025-10-30 16h55.35.537249 -0400,
images/green_alien.png,270,0.5,incongruent,right,3,3,0,right,1,0.20334700000239536,None,0,3,3,1,3.235395100025926,,,,,,,,,images/green_alien.png,3.222300900000846,3.235395100025926,3.7840828000043985,3.7840828000043985,3.7344328000035603,3.9890445000201,right,1,0.20334700000239536,None,pilot,001,2025-10-30_16h55.31.234,oct30exp,,2025.1.1,59.98551949706344,2025-10-30 16h55.35.537249 -0400,
images/green_alien.png,270,0.5,incongruent,right,4,0,1,right,1,0.36378260000492446,None,1,0,4,1,4.119573800009675,,,,,,,,,images/red_alien.png,4.0954620000266,4.119573800009675,4.601099400024395,4.601099400024395,4.63433490000898,4.971703700022772,right,1,0.36378260000492446,None,pilot,001,2025-10-30_16h55.31.234,oct30exp,,2025.1.1,59.98551949706344,2025-10-30 16h55.35.537249 -0400,
images/green_alien.png,90,0.5,congruent,right,5,1,1,right,1,0.32978349999757484,None,1,1,5,2,5.036154200002784,,,,,,,,,images/red_alien.png,5.023078800004441,5.036154200002784,5.601375000027474,5.601375000027474,5.551778200024273,5.938275600026827,right,1,0.32978349999757484,None,pilot,001,2025-10-30_16h55.31.234,oct30exp,,2025.1.1,59.98551949706344,2025-10-30 16h55.35.537249 -0400,
images/green_alien.png,270,-0.5,congruent,left,6,2,1,left,1,0.2710082000121474,None,1,2,6,3,6.002404900005786,,,,,,,,,images/red_alien.png,5.987104100000579,6.002404900005786,6.550852200016379,6.550852200016379,6.500743200012948,6.837432700005593,left,1,0.2710082000121474,None,pilot,001,2025-10-30_16h55.31.234,oct30exp,,2025.1.1,59.98551949706344,2025-10-30 16h55.35.537249 -0400,
images/green_alien.png,90,-0.5,incongruent,left,7,3,1,left,1,0.35174720000941306,None,1,3,7,0,6.952000400022371,,,,,,,,,images/green_alien.png,6.930182100011734,6.952000400022371,7.451523600000655,7.451523600000655,7.451523600000655,7.805159800016554,left,1,0.35174720000941306,None,pilot,001,2025-10-30_16h55.31.234,oct30exp,,2025.1.1,59.98551949706344,2025-10-30 16h55.35.537249 -0400,
images/green_alien.png,270,0.5,incongruent,right,8,0,2,right,1,0.22237740000127815,None,2,0,8,1,7.918201100022998,,,,,,,,,images/red_alien.png,7.900004400027683,7.918201100022998,8.417765600024723,8.417765600024723,8.434286800009431,8.654178400000092,right,1,0.22237740000127815,None,pilot,001,2025-10-30_16h55.31.234,oct30exp,,2025.1.1,59.98551949706344,2025-10-30 16h55.35.537249 -0400,
