block_file,thisN,thisTrialN,thisRepN,target_image,cue_ori,target_x,condition,answer,target_resp.keys,target_resp.corr,target_resp.rt,target_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,inst_text.started,start_resp.started,instructions.stopped,start_resp.keys,start_resp.rt,start_resp.duration,Target image,trial.started,cue.started,cue.stopped,target.started,target_resp.started,trial.stopped,trials.target_resp.keys,trials.target_resp.corr,trials.target_resp.rt,trials.target_resp.duration,feedback.started,fbimage.started,feedback.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.014546799997333437,0.040618800005177036,0.040618800005177036,0.4332257999922149,right,0.37665060002473183,None,,,,,,,,,,,,,,,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,0,0,0,images/green_alien.png,90,0.5,congruent,right,right,1,0.2096867999935057,None,0,0,0,0,0,0,0,2,0.5375556999933906,,,,,,,,,images/red_alien.png,0.5262077999941539,0.5375556999933906,1.0395359999965876,1.0395359999965876,1.0395359999965876,1.2603947000170592,right,1,0.2096867999935057,None,1.2897592000081204,1.306558500014944,1.7611109999998007,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,1,1,0,images/green_alien.png,270,0.5,incongruent,right,right,1,0.7546022000024095,None,0,0,0,0,0,1,1,1,1.890443200012669,,,,,,,,,images/green_alien.png,1.8697726000100374,1.890443200012669,2.389851499989163,2.372831699991366,2.372831699991366,3.128239100013161,right,1,0.7546022000024095,None,3.1415415999945253,3.155656999995699,3.644010799995158,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,2,2,0,images/green_alien.png,90,-0.5,incongruent,left,left,1,0.481683999998495,None,0,0,0,0,0,2,2,0,3.7240004999912344,,,,,,,,,images/green_alien.png,3.7050052999984473,3.7240004999912344,4.223093800013885,4.2400892000005115,4.2400892000005115,4.729480900015915,left,1,0.481683999998495,None,4.744289700000081,4.756927000009455,5.243445200001588,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,3,3,0,images/green_alien.png,270,-0.5,congruent,left,left,1,0.21785399998771027,None,0,0,0,0,0,3,3,3,5.307313700002851,,,,,,,,,images/green_alien.png,5.296161500009475,5.307313700002851,5.82234869999229,5.839105899998685,5.839105899998685,6.061548600002425,left,1,0.21785399998771027,None,6.074325199995656,6.089745000004768,6.5770279999997,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,4,0,1,images/green_alien.png,90,0.5,congruent,right,right,1,0.43426119998912327,None,0,0,0,0,1,0,4,2,6.641204599989578,,,,,,,,,images/green_alien.png,6.6297893000009935,6.641204599989578,7.1422440000169445,7.206572600000072,7.206572600000072,7.644155899994075,right,1,0.43426119998912327,None,7.6567117999948096,7.672514000005322,8.160364600014873,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,5,1,1,images/green_alien.png,90,-0.5,incongruent,left,left,1,0.3140160999901127,None,0,0,0,0,1,1,5,0,8.257061200012686,,,,,,,,,images/red_alien.png,8.247467600012897,8.257061200012686,8.756607799994526,8.756607799994526,8.756607799994526,9.076159099990036,left,1,0.3140160999901127,None,9.088487400003942,9.105693899997277,9.593749499996193,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,6,2,1,images/green_alien.png,270,-0.5,congruent,left,right,0,0.25170530000468716,None,0,0,0,0,1,2,6,3,9.657587499998044,,,,,,,,,images/red_alien.png,9.642890599992825,9.657587499998044,10.179292599990731,10.22922110001673,10.22922110001673,10.49281019999762,right,0,0.25170530000468716,None,10.582367199996952,10.60836010001367,10.993190700013656,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,7,3,1,images/green_alien.png,270,0.5,incongruent,right,left,0,0.07953079999424517,None,0,0,0,0,1,3,7,1,11.107155400008196,,,,,,,,,images/green_alien.png,11.090197000012267,11.107155400008196,11.60686679999344,11.60686679999344,11.60686679999344,11.696591999992961,left,0,0.07953079999424517,None,11.729507000010926,11.739868600008776,12.210762600007001,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,8,0,2,images/green_alien.png,90,0.5,congruent,right,right,1,0.2784477000241168,None,0,0,0,0,2,0,8,2,12.3071498000063,,,,,,,,,images/red_alien.png,12.297514300007606,12.3071498000063,12.862674700008938,12.862674700008938,12.862674700008938,13.15160929999547,right,1,0.2784477000241168,None,13.19605299999239,13.20785330000217,13.660324700002093,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,9,1,2,images/green_alien.png,270,-0.5,congruent,left,left,1,0.06978170000365935,None,0,0,0,0,2,1,9,3,13.774189499992644,,,,,,,,,images/green_alien.png,13.757155200000852,13.774189499992644,14.273704199993517,14.2573485999892,14.2573485999892,14.328643399989232,left,1,0.06978170000365935,None,14.344707300013397,14.35637449999922,14.84314660000382,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,10,2,2,images/green_alien.png,270,0.5,incongruent,right,left,0,0.3001053000043612,None,0,0,0,0,2,2,10,1,14.94074280001223,,,,,,,,,images/red_alien.png,14.928763300005812,14.94074280001223,15.4409289000032,15.4409289000032,15.4409289000032,15.744032299990067,left,0,0.3001053000043612,None,15.786695399991004,15.807983900012914,16.260270600003423,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,11,3,2,images/green_alien.png,90,-0.5,incongruent,left,left,1,0.3346770999778528,None,0,0,0,0,2,3,11,0,16.34116109999013,,,,,,,,,images/red_alien.png,16.31770559999859,16.34116109999013,16.856032500014408,16.856032500014408,16.856032500014408,17.194831700006034,left,1,0.3346770999778528,None,17.231581000000006,17.23959020001348,17.711021499999333,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,12,0,3,images/green_alien.png,90,-0.5,incongruent,left,left,1,0.42897129998891614,None,0,0,0,0,3,0,12,0,17.840662300004624,,,,,,,,,images/green_alien.png,17.821658700006083,17.840662300004624,18.356215900013922,18.306157599989092,18.306157599989092,18.745526400016388,left,1,0.42897129998891614,None,18.762576600012835,18.772654300002614,19.260466400010046,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,13,1,3,images/green_alien.png,90,0.5,congruent,right,right,1,0.41911269997945055,None,0,0,0,0,3,1,13,2,19.34053220000351,,,,,,,,,images/green_alien.png,19.327587000007043,19.34053220000351,19.856152399996063,19.856152399996063,19.856152399996063,20.277600700006587,right,1,0.41911269997945055,None,20.293162799993297,20.30647479998879,20.779121600004146,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,14,2,3,images/green_alien.png,270,-0.5,congruent,left,left,1,0.18979169998783618,None,0,0,0,0,3,2,14,3,20.857968299998902,,,,,,,,,images/green_alien.png,20.846668600017438,20.857968299998902,21.373081800004,21.389798299991526,21.389798299991526,21.59290429999237,left,1,0.18979169998783618,None,21.605786900006933,21.623007499991218,22.110225300013553,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,15,3,3,images/green_alien.png,270,0.5,incongruent,right,left,0,0.32158679998246953,None,0,0,0,0,3,3,15,1,22.174505800008774,,,,,,,,,images/green_alien.png,22.15896930001327,22.174505800008774,22.71333400000003,22.71333400000003,22.71333400000003,23.06610019999789,left,0,0.32158679998246953,None,23.126866500009783,23.14159680000739,23.577748200012138,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,16,0,4,images/green_alien.png,90,-0.5,incongruent,left,left,1,0.3250447000027634,None,0,0,0,0,4,0,16,0,23.674881699989783,,,,,,,,,images/red_alien.png,23.6637941999943,23.674881699989783,24.190523099998245,24.173883300012676,24.173883300012676,24.50961519998964,left,1,0.3250447000027634,None,24.537252600013744,24.557057400001213,25.010767300002044,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,17,1,4,images/green_alien.png,270,-0.5,congruent,left,left,1,0.33975509999436326,None,0,0,0,0,4,1,17,3,25.07438540001749,,,,,,,,,images/red_alien.png,25.056451600015862,25.07438540001749,25.573997400002554,25.623744700016687,25.623744700016687,25.977482799993595,left,1,0.33975509999436326,None,25.99065670001437,26.00653549999697,26.493980700004613,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,18,2,4,images/green_alien.png,90,0.5,congruent,right,right,1,0.15933870000299066,None,0,0,0,0,4,2,18,2,26.60803629999282,,,,,,,,,images/green_alien.png,26.583960899995873,26.60803629999282,27.12271980001242,27.090267999999924,27.090267999999924,27.26046310001402,right,1,0.15933870000299066,None,27.273138399992604,27.28992450001533,27.760596700012684,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,19,3,4,images/green_alien.png,270,0.5,incongruent,right,left,0,0.1452733000041917,None,0,0,0,0,4,3,19,1,27.87545130000217,,,,,,,,,images/red_alien.png,27.857758600002853,27.87545130000217,28.390573500015307,28.37393209998845,28.37393209998845,28.530159399990225,left,0,0.1452733000041917,None,28.583627499989234,28.606935499992687,29.042838499997742,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/green_alien_block.xlsx,0,0,0,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,0,0,0,images/red_alien.png,90,0.5,congruent,right,right,1,0.31817459999001585,None,0,1,1,1,0,0,0,2,29.142527999996673,,,,,,,,,images/red_alien.png,29.124989700008882,29.142527999996673,29.65712849999545,29.640662499994505,29.640662499994505,29.96148080000421,right,1,0.31817459999001585,None,29.99830700000166,30.006553499988513,30.47658390001743,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,1,1,0,images/red_alien.png,270,-0.5,congruent,left,left,1,0.07513830001698807,None,0,1,1,1,0,1,1,3,30.59124080001493,,,,,,,,,images/green_alien.png,30.56842220001272,30.59124080001493,31.090780900005484,31.07437459999346,31.07437459999346,31.163065700005973,left,1,0.07513830001698807,None,31.184343400003854,31.206821900006616,31.677299700008007,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,2,2,0,images/red_alien.png,270,0.5,incongruent,right,right,1,0.2866226999904029,None,0,1,1,1,0,2,2,1,31.757746999996016,,,,,,,,,images/green_alien.png,31.734966999996686,31.757746999996016,32.2726559000148,32.2726559000148,32.2726559000148,32.561173499998404,right,1,0.2866226999904029,None,32.577366200013785,32.58936320000794,33.07736610001302,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,3,3,0,images/red_alien.png,90,-0.5,incongruent,left,right,0,0.3756827999895904,None,0,1,1,1,0,3,3,0,33.1586471000046,,,,,,,,,images/green_alien.png,33.1342905999918,33.1586471000046,33.67314240001724,33.67314240001724,33.67314240001724,34.06155710000894,right,0,0.3756827999895904,None,34.104552200005855,34.1237250000122,34.57744240001193,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,4,0,1,images/red_alien.png,270,0.5,incongruent,right,left,0,0.13148300000466406,None,0,1,1,1,1,0,4,1,34.657711900013965,,,,,,,,,images/green_alien.png,34.63666230000672,34.657711900013965,35.17289849999361,35.17289849999361,35.17289849999361,35.311825600016164,left,0,0.13148300000466406,None,35.33544019999681,35.35623010000563,35.82688100001542,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,5,1,1,images/red_alien.png,90,-0.5,incongruent,left,right,0,0.061942300002556294,None,0,1,1,1,1,1,5,0,35.89168570001493,,,,,,,,,images/green_alien.png,35.8796457000135,35.89168570001493,36.406048000004375,36.42297340001096,36.42297340001096,36.492981099989265,right,0,0.061942300002556294,None,36.51467040000716,36.52309880001121,36.993296700005885,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,6,2,1,images/red_alien.png,90,0.5,congruent,right,right,1,0.2989794000168331,None,0,1,1,1,1,2,6,2,37.10817069999757,,,,,,,,,images/red_alien.png,37.08709909999743,37.10817069999757,37.623459299997194,37.60622839999269,37.60622839999269,37.90989549999358,right,1,0.2989794000168331,None,37.93893170001684,37.95698529999936,38.42691440001363,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,7,3,1,images/red_alien.png,270,-0.5,congruent,left,right,0,0.34541449998505414,None,0,1,1,1,1,3,7,3,38.541666100005386,,,,,,,,,images/green_alien.png,38.521280100016156,38.541666100005386,39.05886079999618,39.05886079999618,39.05886079999618,39.414403100003256,right,0,0.34541449998505414,None,39.47362639999483,39.491257799993036,39.92657410001266,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,8,0,2,images/red_alien.png,270,-0.5,congruent,left,right,0,0.2463624000083655,None,0,1,1,1,2,0,8,3,40.04114980000304,,,,,,,,,images/red_alien.png,40.02088769999682,40.04114980000304,40.556401400011964,40.52291190001415,40.52291190001415,40.77701399999205,right,0,0.2463624000083655,None,40.797721999988426,40.806647099991096,41.280034700001124,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,9,1,2,images/red_alien.png,270,0.5,incongruent,right,right,1,0.2903999999980442,None,0,1,1,1,2,1,9,1,41.35793970001396,,,,,,,,,images/red_alien.png,41.33868360001361,41.35793970001396,41.87290390001726,41.88951229999657,41.88951229999657,42.18063970000367,right,1,0.2903999999980442,None,42.21764540000004,42.24046830000589,42.69308009999804,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,10,2,2,images/red_alien.png,90,0.5,congruent,right,right,1,0.2640339999925345,None,0,1,1,1,2,2,10,2,42.8077992000035,,,,,,,,,images/green_alien.png,42.79924120000214,42.8077992000035,43.32265029998962,43.290023300010944,43.290023300010944,43.56003300001612,right,1,0.2640339999925345,None,43.57512009999482,43.58944850001717,44.06091430000379,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,11,3,2,images/red_alien.png,90,-0.5,incongruent,left,right,0,0.17613830001209863,None,0,1,1,1,2,3,11,0,44.19070979999378,,,,,,,,,images/red_alien.png,44.1698439999891,44.19070979999378,44.690489000000525,44.67315720001352,44.67315720001352,44.85984700001427,right,0,0.17613830001209863,None,44.896317900012946,44.90670809999574,45.363420800014865,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,12,0,3,images/red_alien.png,270,-0.5,congruent,left,right,0,0.22229559998959303,None,0,1,1,1,3,0,12,3,45.50808130000951,,,,,,,,,images/green_alien.png,45.495334300008835,45.50808130000951,46.02285280000069,45.97290769999381,45.97290769999381,46.20972169999732,right,0,0.22229559998959303,None,46.22714860000997,46.239852300001075,46.710994299995946,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,13,1,3,images/red_alien.png,270,0.5,incongruent,right,right,1,0.14578950000577606,None,0,1,1,1,3,1,13,1,46.79264540001168,,,,,,,,,images/green_alien.png,46.7697033000004,46.79264540001168,47.30725740001071,47.32432549999794,47.32432549999794,47.487577399995644,right,1,0.14578950000577606,None,47.583734100015135,47.62133250001352,48.03399920000811,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,14,2,3,images/red_alien.png,90,0.5,congruent,right,right,1,0.13488989998586476,None,0,1,1,1,3,2,14,2,48.27614219998941,,,,,,,,,images/red_alien.png,48.25556359998882,48.27614219998941,,48.59030499999062,48.59030499999062,48.72791350001353,right,1,0.13488989998586476,None,48.74296309999772,48.75630189999356,49.244229800009634,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,15,3,3,images/red_alien.png,90,-0.5,incongruent,left,right,0,0.1408056999789551,None,0,1,1,1,3,3,15,0,49.35769160001655,,,,,,,,,images/green_alien.png,49.3493271000043,49.35769160001655,49.87314479998895,49.839840300002834,49.839840300002834,49.99384939999436,right,0,0.1408056999789551,None,50.03574500000104,50.05808919999981,50.49476450000657,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,16,0,4,images/red_alien.png,270,-0.5,congruent,left,right,0,0.18915690001449548,None,0,1,1,1,4,0,16,3,50.607281900011,,,,,,,,,images/red_alien.png,50.59590119999484,50.607281900011,51.123233299993444,51.10665030000382,51.10665030000382,51.31054750000476,right,0,0.18915690001449548,None,51.332921099994564,51.33960500001558,51.82740000000922,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,17,1,4,images/red_alien.png,90,-0.5,incongruent,left,right,0,0.19800080001004972,None,0,1,1,1,4,1,17,0,51.90885569999227,,,,,,,,,images/red_alien.png,51.89357780001592,51.90885569999227,52.423065000009956,52.423065000009956,52.423065000009956,52.628294299996924,right,0,0.19800080001004972,None,52.65531239999109,52.67305859999033,53.144507199991494,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,18,2,4,images/red_alien.png,270,0.5,incongruent,right,right,1,0.12171310000121593,None,0,1,1,1,4,2,18,1,53.27418199999374,,,,,,,,,images/green_alien.png,53.262388400005875,53.27418199999374,53.79017749999184,53.73977630000445,53.73977630000445,53.87674520001747,right,1,0.12171310000121593,None,53.905870999995386,53.923483199992916,54.37972130000708,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,19,3,4,images/red_alien.png,90,0.5,congruent,right,right,1,0.06753880000906065,None,0,1,1,1,4,3,19,2,54.52568570000585,,,,,,,,,images/red_alien.png,54.50807040001382,54.52568570000585,55.04029890001402,54.98975179999252,54.98975179999252,55.06074620000436,right,1,0.06753880000906065,None,55.07299149999744,55.08946620000643,55.577362600015476,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
spreadsheets/red_alien_block.xlsx,1,1,0,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-10-30_17h09.07.153,oct30exp,,2025.1.1,60.61491405741497,2025-10-30 17h09.11.113914 -0400,
